Mot;Occurrence;Mot_nettoye;Cluster
2x05;2;;0
truth;14;truth;0
in;617;in;0
lye;2;lye;0
www;42;www;0
forom;18;forom;0
com;74;com;0
descendez;7;descendre;0
doucement;70;doucement;0
continuez;46;continuer;0
waouh;11;waouh;0
sympa;54;sympa;0
devrais;171;devrai;0
ma;1042;;0
caméra;34;caméra;0
aurais;314;avoir;0
compazine;2;compazine;0
médicament;15;médicament;0
neuroleptique;2;neuroleptique;0
aura;119;;0
vidéo;84;vidéo;0
vomi;12;vomi;0
autre;836;;0
part;216;part;0
doit;435;;0
dépêcher;6;dépêcher;0
chimiques;27;chimique;0
rongent;4;ronger;0
notre;650;;0
possibilité;35;possibilité;0
ait;220;;0
mis;175;mettre;0
vivant;55;vivre;0
trouvons;12;trouvon;0
corde;36;corde;0
ruban;23;ruban;0
adhésif;27;adhésif;0
corps;692;corps;0
bonne;306;bon;0
oui;2277;oui;0
monde;433;monde;0
commençons;12;commençon;0
inquiètera;3;inquièterer;0
tard;124;tard;0
premier;147;;0
prendrons;2;prendron;0
joie;27;joie;0
alors;1000;;0
clairement;42;clairement;0
priorité;21;priorité;0
changer;74;changer;0
indices;18;indice;0
dépêche;10;dépêche;0
quel;407;;0
poids;63;poids;0
départ;41;départ;0
kgs;14;kgs;0
pèse;8;peser;0
seule;246;;0
environ;136;;0
capacité;14;capacité;0
gallons;2;gallon;0
comptant;6;comptant;0
kg;39;kilogramme;0
litre;4;litre;0
gallon;2;gallon;0
mène;24;mener;0
plein;97;plein;0
plaçant;2;placer;0
type;343;type;0
moyenne;17;moyenne;0
crème;14;crème;0
remonte;22;remont;0
toujours;701;;0
cas;261;cas;0
précis;38;précis;0
graisse;23;graisse;0
fondue;4;fondre;0
mesurerai;2;mesurerai;0
son;1937;;0
volume;13;volume;0
déterminer;58;déterminer;0
commencerai;6;commencer;0
séparer;22;séparer;0
toutes;328;;0
organiques;17;organique;0
demandé;212;demander;0
tamis;10;tamis;0
truc;338;truc;0
genre;314;genre;0
utile;49;utile;0
gros;137;gros;0
morceaux;94;morceal;0
vieux;182;vieux;0
mczachy;2;mczachy;0
allez;739;aller;0
bureau;195;bureau;0
légiste;50;légiste;0
dites;358;dire;0
eau;176;eau;0
équipe;196;équipe;0
terrain;81;terrain;0
envoyés;11;envoyer;0
illico;2;illico;0
presto;3;presto;0
énervent;4;énerver;0
quand;1353;;0
votre;2308;;0
nom;348;nom;0
parlant;46;parler;0
preuve;239;preuve;0
gâteau;34;gâteau;0
même;1073;;0
dégoûtant;15;dégoûtant;0
trop;461;trop;0
interroge;9;interrog;0
crâne;328;crâne;0
reconstruction;51;reconstruction;0
partielle;7;partiel;0
hmm;47;hmm;0
déjà;411;;0
travaillé;60;travaillé;0
fémur;41;fémur;0
droit;180;droit;0
poreux;5;poreux;0
fragile;19;fragile;0
moelle;22;moell;0
pratiquement;12;pratiquemer;0
gélatinisée;3;gélatiniser;0
personne;659;;0
âgée;12;âgé;0
grand;292;grand;0
vraiment;991;vraiment;0
tiens;51;;0
remplacement;9;remplacement;0
hanche;16;hanche;0
elles;435;;0
habituellement;12;habituellement;0
gravées;3;gravée;0
